Year,WHO region,Country Beverage,Types,Display
1986,Western Pacific,Viet Nam,Wine
1986,Americas,Uruguay,Other
1985,Africa,Cte d'Ivoire,Wine
1986,Americas,Colombia,Beer
1987,Americas,Saint Kitts and Nevis,Beer
